Family,Scientific Name,Common Name,Duration,Habit,Light,Soil Moisture,Height,Color,Bloom Period,Notes
Poaceae,Panicum amarum,Bitter panicgrass,Perennial,Graminoid,Sun,Dry,7',Green,August - September,"Bitter panicum is adapted to very dry sterile sites. It can withstand periods of extended drought and is somewhat winter hardy. Bitter panicum is consumed by cattle, sheep, and goats."
Fagaceae,Quercus phellos,Willow Oak,Deciduous,Tree,Part Shade,Medium - Wet,72-100',Yellow,March - May,"Willow oak is well adapted to moist, well-drained, acid soils and full sun or light shade, it is widely planted as an ornamental and shade tree."
Poaceae,Panicum virgatum,Switchgrass,Perennial,Graminoid,Full sun - part shade,Medium - Dry,3' - 5',Green,August - September,"Switchgrass is noted for its heavy growth during late spring and early summer. It provides good warm-season pasture and high quality hay for livestock. Switchgrass provides excellent nesting and fall and winter cover for pheasants, quail, and rabbits. It holds up well in heavy snow (particularly ‘Shelter’ and ‘Kanlow’ cultivars) and is useful on shooting preserves. The seeds provide food for pheasants, quail, turkeys, doves, and songbirds."
Vitaceae,Parthenocissus quinquefolia,Virginia Creeper,Perennial,Vine,Sun - Part Shade,Medium - Wet,30' - 50',Green,April - May,"Virginia creeper is found throughout the eastern half of the United States. It prefers moist, well-drained soils but will grow in drier soils and conditions including coastal dune areas. Virginia creeper is fairly shade tolerant, however it is often found along more open clearing borders, fencerows and streambanks. It is also salt tolerant."
Araceae,Peltandra virginica,Green arrow arum,Perennial,Herb,Sun - Part Shade,Wet,"4"" - 2.5'",Green,May - July,"Expansive stands of arrow arum often develop in the marginal waters it inhabits. The foliage and stems in these stands create a wave deflecting or buffering barrier, while the root masses knit together and stabilize the submerged sediments. The roots and shoots translocate methane from the substrate. Arrow arum fruit is a preferred food of wood ducks, and is also eaten by muskrats and rails. The foliage is seldom damaged, providing good cover to waterfowl, wading birds, insects, and aquatic mammals."
Plantaginaceae/Scrophulariaceae,Penstemon hirsutus,Hairy beardtongue,Perennial,Herb,Sun - Shade,Dry - Medium,1' - 3',Purple,May - June,Early blooming flower that can grow well in a vareity of light conditions.
Rosaceae,Physocarpus opulifolius,Common ninebark,Perennial,Shrub,Sun - Shade,Medium - Wet,3' - 10',"White, Pink",May - July,"Common ninebark is cultivated in the US for its foliage, clusters of white flowers in the spring, and red fruits in the autumn. Various cultivars have been selected for compactness of growth, yellow or golden leaf color, and greater size and showiness of flower clusters. Flowers of Common ninebark are an excellent nectar source, and the fruits are eaten by many species of birds."
Pinaceae,Pinus echinata,Shortleaf Pine,Perennial,Tree,Part Shade,Medium - Dry,80' - 100',Yellow,February - March,Suitable for dry sites.
Pinaceae,Pinus rigida,Pitch Pine,Evergreen,Tree,Sun,Medium,40' - 80',Green,March  - May,Fast growing and fire tolerant.
Pinaceae,Pinus virginiana,Virginia Pine,Perennial,Tree,Sun,Medium,20' - 60',NA,April,Medium sized tree that grows in poor soil conditions.
Plantanceae,Platanus occidentalis,American Sycamore,Perennial,Tree,Sun - Shade,Wet,80' - 100',Reddish Brown,March - April,American sycamore is useful in rehabilitation of various sites with saturated soils. It is often a natural early colonizer of disturbed sites.
Pontederiaceae,Pontederia cordata,Pickerelweed,Perennial,Herb,Sun - Part Shade,Wet,1' - 4',Purple,May - October,"Pickerelweed forms large colonies along shallow shorelines. The emergent mass of stems and leaves provide wave-buffering protection. Although slow to spread, the root base of this plant thoroughly covers the sediments with a tough vegetative mat. The seed of pickerelweed is eaten by waterfowl. Geese and muskrats will consume the vegetation, while only fish, and to a lesser extent birds and small mammals, utilize flooded foliage for cover. This species is also used extensively in water gardening, due to its showy violet to blue flowers."
Rosaceae,Prunus maritima,Beach Plum,Deciduous,Shrub,Full sun,Dry,3' - 18’,"White, Pink",April - May,"The beach plum is a staple of the flora that populates the mature dune systems of the Atlantic barrier islands. While beach plum is primarily a coastal species, it can occasionally occur further inland usually nearby tidewater streamsides. Given the dependably profuse bloom of snowy white, conspicuous flowers and the ability to survive in low nutrient, droughty, and salt affected soils, the beach plum has gained value as an ornamental especially for problem sites."
Rosaceae,Prunus serotina,Black Cherry,Deciduous,Tree,Sun - Part Shade,Medium,50-65',White,June,"Black cherry wood is a rich reddish-brown color and is strong, hard, and close-grained – one of the most valued cabinet and furniture woods in North America."
Lamiaceae/Labiatae,Pycnanthemum tenuifolium,Narrowleaf mountainmint,Perennial,Herb,Sun - Part Shade,Dry - Medium,2' - 3',White,July - August,Narrowleaf mountainmint provides a nectar source for pollinators and is well suited for use in pollinator restoration.
Lamiaceae/Labiatae,Pycnanthemum virginianum,Virginia mountainmint,Perennial,Herb,Sun - Part Shade,Medium - Wet,2' - 3',White,June - September,Late summer blooming mint.
Fagaceae,Quercus alba,White Oak,Deciduous,Tree,Sun - Shade,Medium,72' - 100',Red,March - May,"White oak is an excellent ornamental tree because of its broad round crown, dense foliage, and purplish-red to violet-purple fall color."
Fagaceae,Quercus bicolor,Swamp White Oak,Deciduous,Tree,Part Shade,Wet,72-100'',Reddish Green,March - May,"Swamp white oak is planted on highway rights-of-way and is frequently used as a shade tree for large lawns, golf courses, parks, and poorly drained and wet, or even occasionally flooded, and they will tolerate significant soil compaction."
Fagaceae,Quercus coccinea,Scarlet Oak,Deciduous,Tree,Sun,Medium,72' - 100',Yellow,March - May,Brings a great deep red color to the fall landscape.
Fagaceae,Quercus falcata,Southern Red Oak,Deciduous,Tree,Sun - Part Shade,Medium - Dry,60-80',Yellow,March - May,Medium sized shade tree.
Fagaceae,Quercus ilicifolia,Bear oak,Deciduous,Tree,Sun,Dry,12' - 36',Yellow,March - May,"Small tree that does not tolerate shade, often found in the Pine Barrens"
Fagaceae,Quercus marilandica,Blackjack oak,Deciduous,Tree,Sun - Part Shade,Dry,15' - 50',"White, red, green",March - May,Small tree that grows in sandy soil and can be found along the New Jersey coastal plain.
Fagaceae,Quercus montana / prinus,Chestnut Oak,Deciduous,Tree,Part Shade,Medium - Dry,60' - 80',Yellowish Green,March - May,Medium sized tree that grows in dry or rocky soils.
Asteraceae,Solidago nemoralis,Gray goldenrod,Perennial,Herb,Sun,Dry,"6"" - 2.5'",Yellow,September - October,"Grey goldenrod is a beautiful plant in flower and creates an effective groundcover in dry, harsh, sunny conditions. For these reasons it is often used in native landscapes, rock gardens, butterfly gardens and meadow plantings."
Fagaceae,Quercus rubra,Northern Red Oak,Deciduous,Tree,Sun - Part Shade,Medium - Dry,100'+,"Yellow, green, brown",March - May,"Northern red oak is commonly planted as a landscape tree in eastern North America -- used as a shade tree on lawns, parks, campuses, golf courses, etc, where space is sufficient. It is fast growing, easy to transplant, tolerant of urban conditions (including dry and acidic soil and air pollution), the abundant nuts attract wildlife, and the leaves develop a brick-red fall color. It has been used in various rehabilitation projects, including revegetation of coal mine spoils in states of the east central United States (Ohio, Indiana, Illinois, Kentucky, and Pennsylvania)."
Fagaceae,Quercus stellata,Post Oak,Deciduous,Tree,Part Shade,Medium - Dry,30' - 40',"Yellow, brown",March - May,"Draught resistant Oak that grows in dry soils, with distinct cross shaped leaves."
Anadardiaceae,Rhus copallinum,"Shining Sumac, Winged Sumac",Deciduous,Shrub,Sun - Part Shade,Dry,10' - 20',Greenish Yellow,July - September,"Sumac also makes good ornamental plantings and hedges because of the brilliant red fall foliage. While sumacs generally prefer fertile, upland sites they also tolerate a wide variety of conditions. All are tolerant of slightly acid soil conditions and textures ranging from coarse to fine. Typical growing sites include open fields and roadsides, fence rows, railroad rights-of-way, and burned areas. Sumacs are not highly shade tolerate and are considered early successional species."
Anadardiaceae,Rhus glabra,Smooth sumac,Perennial,Tree,Sun - Part Shade,Dry,10' - 15',Greenish Yellow,June - July,"Smooth sumac is widely distributed throughout the United States. It is extremely drought resistant and is commonly found in open fields and roadsides, fence rows, railroad rights-of-way, and burned areas, on sandy or gravelly soil."
Anadardiaceae,Rhus typhina,Staghorn sumac,Perennial,Tree,Sun - shade,Dry - Medium,12' - 36',Greenish Yellow,June - July,"Staghorn sumac is a U.S. native, deciduous, large shrub to small tree that can attain a height of 30-35 feet. It generally prefers fertile, upland sites but tolerates a wide variety of conditions. Sumac is tolerant of slightly acid soil conditions and textures ranging from coarse to fine. Typical growing sites include open fields and roadsides, fence rows, railroad rights-of-way, and burned areas. Sumac is not highly shade tolerate and are considered early successional species."
Rosaceae,Rosa palustris,Swamp rose,Perennial,Subshrub,Part Shade,Wet,1' - 8',Pink,May - June,"Swamp rose is common in marshes and swamps. This species is abundant in swampy habitats and along ditches and streams. It grows best in damp or wet rich loamy soil, in full sunor partial shade."
Rosaceae,Rosa virginiana,Virginia Rose,Deciduous,Shrub,Sun,Medium,4' - 6',Simple rose of pink. Fragrant,May - June,"Virginia rose grows along the edges of salt marshes, roadsides and in pastures. This species succeeds in moist soils, growing well in heavy clayey soils. It prefers a sunny position and does well under winter conditions. This is an outstanding ornamental shrub that is easy to grow."
Salicaceae,Salix discolor,American Pussy Willow,Deciduous,Shrub,Sun,Wet,6' - 20',Catkins,March,"Early blooming shrub that prefers moist soils of stream banks and wetlands, but has some tolerance for less moist inland soils."
Salicaceae,Salix nigra,Black Willow,Deciduous,Tree,Sun - Shade,Medium - Wet,30' -60',Yellow,April - May,Black willow can be planted as an ornamental where a fine-textured shade tree is desired. It will tolerate dry soils with reduced vigor.
Caprifoliaceae,Sambucus nigra subsp. canadensis,American black elderberry,Perennial,Shrub,Sun,Medium - Wet,4' - 12',White,June - August,"It is very decorative when in bloom; elder flowers later than most shrubs. Elderberries are also attractive to makers of pies, jellies and wine."
Lauraceae,Sassafras albidum,Sassafras,Perennial,Tree,Sun - Shade,Medium,30' - 35',Yellowish Green,March - May,later than most shrubs. Elderberries are also
Saururaceae,Saururus cernuus,Lizard's tail,Perennial,Herb,Part Shade - Shade,Wet,1' - 4',White,April - August,"Unique tail like flower that grows in wet soils of pond edges, swamps, and streams."
Poaceae/Gramineae,Schizachyrium scoparium,Little Bluestem,Perennial,Graminoid,Sun,Medium - Dry,2' - 4',"Blue, Red in Fall",August - December,"Little bluestem is becoming more popular for home landscaping because it is a colorful and easy-care addition. New varieties are being developed that don’t lodge (falling over at the base) and are more disease resistant. New growth can be bluish, maturing to a reddish-gold color. The seed develops to a fluffy silver-white. The plumes are showy when seed has matured which adds interest to a cut arrangement. Frost accents the plants and the reddish tint provides color during the winter (Mahr, 2007). This is a prairie grass for the garden that is truly exceptional in mass plantings. Use in full sun."
Cyperaceae,Schoenoplectus pungens,Common threesquare,Perennial,Graminoid,Sun,Wet,1' - 3',Brownish Red,May - July,"Common threesquare occurs in a variety of wetland and riparian plant communities under 2,000 m (6,500) elevation.  It is usually found in standing water about 10 to 15 cm (4 to 6 in) deep, and will tolerate alkaline and saline conditions as well as freshwater.  Common threesquare can survive seasonal drought, when the water table is more than 1 m ( 3 ft) below the surface.  It grows in fine silty clay loam to sandy loam soil."
Cyperaceae,Schoenoplectus tabernaemontani,Softstem bulrush,Perennial,Graminoid,Sun,Wet,6' - 10',Red,April - May,"Soft-stem bulrush occurs in deep or shallow water, or in muddy or marshy ground around lakes, ponds, streams, and wooded wetlands (Guard 1995).  This species usually occurs in poorly drained soil.  It grows better in saline conditions than in fresh water, and it tolerates a wide range of salinity."
Asteraceae,Solidago canadensis,Canada goldenrod,Perennial,Herb,Sun - Part Shade,Medium,1' - 7',Yellow,July - October,"Canada goldenrod is not typically planted in a landscaped setting due to its spreading rhizomatous growth. However, it may be possible to manage plants by planting in a pot submersed in the ground, or by removing new growth each year. Canada goldenrod can be
used for revegetation of disturbed areas, for minespoil reclamation, and soil stabilization. Solidago species provide vital sources of pollen and nectar for bees and other insects in the late summer and fall throughout North America."
Asteraceae,Solidago juncea,Early goldenrod,Perennial,Herb,Sun - Part Shade,Dry,2' - 4',Yellow,July - September,This species is the first of the Goldenrods to bloom.
Poaceae,Sorghastrum nutans,Indiangrass,Perennial,Graminoid,Sun - Part Shade,Medium,3' - 8',Yellow,August - September,"Indiangrass occurs in areas receiving 11 to 45 inches (28 to 114 cm) of annual precipitation (USDA, NRCS 2017).
Indiangrass is best known as part of the tallgrass prairie vegetation in the central United States and grows in association with various grasses including switchgrass (Panicum virgatum), little bluestem (Schizachyrium scoparium), and big bluestem (Andropogon gerardii) (Gould 1975). Indiangrass also occurs in bottomlands, savannahs, and the southern pine region of the southeastern U.S."
Sparganiaceae,Sparganium americanum,American bur-reed,Perennial,Graminoid,Sun - Part Shade,Wet,2',Yellow,May - August,This species grows best on wet ground in rich soil. It prefers full sun but can tolerate some shade. Sparanium species is mostly found in muddy or shallow water of swamps and ponds
Sparganiaceae,Sparganium eurycarpum,Giant bur-reed,Perennial,Herb,Sun - Part Shade,Wet,7',Green,June - August,This species grows best on wet ground in rich soil. It prefers full sun but can tolerate some shade. Sparanium species is mostly found in muddy or shallow water of swamps and ponds.
Sparganiaceae,Spartina alterniflora,Smooth cordgrass,Perennial,Graminoid,Sun,Wet,2' - 6',Yellow,April - May,"Smooth cordgrass is an herbaceous, native, warm season grass that forms dense vegetative colonies along shorelines and intertidal flats in coastal wetlands. Smooth cordgrass is a robust, rapidly spreading plant, tolerant to fluctuating water depths and salinity."
Sparganiaceae,Spartina cynosuroides,Big cordgrass,Perennial,Graminoid,Sun,Wet,3' - 10',NA,August - October,This plant is primarily adapted to mineral soils in salt marshes. It tolerates moderate salinity and water levels that fluctuate from 4 inches below soil surface to 2 inches above. It is closely associated with marsh-hay cordgrass (Spartina patens) and common reed (Phragmites australis).
Sparganiaceae,Spartina patens,Salt marsh cordgrass,Perennial,Graminoid,Sun,Wet,1' - 4',Yellow,June - October,"Saltmeadow cordgrass is used for shoreline protection and tidal marsh restorations, and is often utilized for levee stabilization and dune stabilization plantings near coastal beaches and on barrier islands. It is an important species for dissipating wave energy in low topography relief coastlines (Stallins, 2002). Saltmeadow cordgrass is an effective stabilizer used on interior mud flats, dredge fill sites, and other areas of loose and unconsolidated soils associated with marsh restoration (Burger and Shisler, 1983)."
Sparganiaceae,Spartina pectinata,Prairie cordgrass,Perennial,Graminoid,Sun,Wet - Medium,3' - 8',Yellow,June,"Prairie cordgrass has a broad climatic adaptation. It will grow in seasonally dry sites, tolerates alkaline conditions and high-water tables but is intolerant of prolonged flooding. The rapid seedling development of this species enables it to avoid frost-heaving problems on wetter soils (Bush, 2000)."
Rosaceae,Spiraea alba,White meadowsweet,Perennial,Shrub,Sun - Shade,Wet,4' - 8',White,July - September,Long blooming wetland shrub that feeds many butterflies and beneficial insects.
Rosaceae,Spiraea tomentosa,Steeplebush,Deciduous,Shrub,Sun,Wet,3' - 4',Pink,July - September,Summer blooming shrub that grows in moist to wet soils.
Asteraceae,Symphyotrichum laeve var. laeve,Smooth Blue Aster,Perennial,Herb,Sun - Part Shade,Dry - Medium,1' - 3',Blue,August - October,"The showy flowers of smooth blue aster makes it a popular plant for use in wildflower, native plant, and butterfly gardens."
Asteraceae,Symphyotrichum novae-angliae,New England aster,Perennial,Herb,Sun - Part Shade,Medium - Wet,2' - 6',Purple,August - November,New England aster is known for attracting butterflies and moths to areas where it is found growing. This is a good bee plant providing nectar in the autumn.
Asteraceae,Symphyotrichum novi-belgii,New York Aster,Perennial,Herb,Sun - Part Shade,Medium,1' - 5',Purple,August - October,"New York aster is an excellent upright perennial for a mixed bed or border. This species provides a color accent, bringing autumn color to the garden. New York aster is known for attracting butterflies and moths to areas where it is found growing. This is a good bee plant providing nectar in the autumn."
Thelypteridaceae,Thelypteris palustris,Eastern marsh fern,Perennial,Herb,Sun,Wet,1' - 2.5',NA,NA,Full sun loving fern that grows in marshes.
Commelinaceae,Tradescantia virginiana,Virginia spiderwort,Perennial,Herb,Sun - Shade,Medium,1' - 2',"White, blue, purple",May - July,"Virginia spiderwort is a vigorous plant that likes moist soils but will adapt to drier, average garden soils. The plants are often seen in old-fashioned gardens and work well as part of a perennial border. They are recommended for bogs and naturally wet sites where the plants can form large clumps when grown in full sun. The plants will flower in both sun and shade. Plants may be propagated from seed but they are more easily started from cuttings or divisions."
Poaceae,Tridens flavus,Purpletop tridens,Perennial,Graminoid,Sun - Part Shade,Medium - Dry,2' - 6',Purple,August - November,"Purpletop tridens is found in a variety of habitats including old fields, prairies, open woods, woodland openings, powerline and railroad rights-of-ways, and roadsides. Purpletop is adapted to sites receiving full sun to partial shade (NC State Extension, 2021). It tolerates dry to moist sandy, sandy loam, loam, clay loam, or clay soils in areas receiving 30 or more inches of rainfall."
Typhaceae,Typha angustifolia,Narrowleaf cattail,Perennial,Herb,Sun,Wet,5' - 10',Yellow (male) green (female) - sausage brown flower spike,April - June,"Cattails are always found in or near water, in marshes, ponds, lakes, and depressional areas. They are obligate wetland indicator plant species. Cattails tolerate perennial flooding, reduced soil conditions, and moderate salinity."
Typhaceae,Typha latifolia,Broadleaf cattail,Perennial,Herb,Sun,Wet,5' - 10',"Yellow, green, brown",April - June,"Cattails are always found in or near water, in marshes, ponds, lakes, and depressional areas. They are obligate wetland indicator plant species. Cattails tolerate perennial flooding, reduced soil conditions, and moderate salinity."
Ericaceae,Vaccinium angustifolium,Lowbush Blueberry,Deciduous,Shrub,Sun - Part Shade,Medium,"2"" - 24""",White,May - June,Low growing Blueberry bush.
Ericaceae,Vaccinium corymbosum,Highbush blueberry,Perennial,Shrub,Sun - Part Shade,Medium - Wet,6' - 12',"White, pink",May,"Sometimes called New Jersey blueberry, highbush blueberry, a native North American shrub cultivated throughout the country, is the major blueberry-producing species in commerce. More than 50 cultivars have been developed, primarily for commercially valuable fruit characteristics and seasonality."
Verbenaceae,Verbena hastata,Swamp verbena,"Biennial, Perennial",Herb,Sun,Medium - Wet,2' - 5',Purple,August - September,"Blue vervain produces very attractive purplish-blue flowers in late summer. It can grow in degraded wetland habitats and is an excellent landscaping substitute for several invasive species, including European wand loosestrife, purple loosestrife, and purple foxglove."
Asteraceae,Verbesina alternifolia,Wingstem,Perennial,Herb,Sun - Part Shade,Medium,4' - 8',Yellow,July - October,Tall flower that blooms late in the summer into the fall.
Asteraceae,Vernonia noveboracensis,New York ironweed,Perennial,Herb,Sun - Part Shade,Medium - Wet,5' - 8',Magenta,August - September,Tall perennial with clusters of purple flowers.
Plantaginaceae,Veronicastrum virginicum,Culver's root,Perennial,Herb,Sun,Medium - Wet,3' - 6',White,July - September,"Culver’s root is a tall, durable, adaptable and easily grown. It’s beautiful (usually white, purple to pink) flowers occur at a time of year (July - September) when most other plants are not flowering. It sometimes needs staking and is a good wildflower for meadows, borders, wetlands and rain gardens. It makes a nice cut flower lasting as much as a week in fresh arrangements."
Adoxaceae,Viburnum dentatum,Southern arrowwood,Deciduous,Shrub,Sun - Part Shade,Medium,3' - 9',White,May - June,"Southern Arrowwood is an adaptable native, multi-stemmed shrub. Creamy white flowers, dark blue berries and colorful fall foliage make southern arrowwood an attractive landscape plant. It suckers freely from the base. It can be used for borders or screens or as mass plantings and groupings to attract birds, which eat the fruit."
Adoxaceae,Viburnum lentago,Nannyberry,Deciduous,Shrub,Sun - Shade,Medium - Wet,15' - 36',White,May - June,"Nannyberry is a shade-tolerant, understory species useful in landscape plantings as shrub borders, taller barriers, hedges, and windbreaks. It produces good seasonal displays of flowers, fruits, and fall leaf color. The fruits are sweet and edible and are eaten by many species of birds and wildlife"
Adoxaceae,Viburnum nudum,Possumhaw,Perennial,Shrub,Sun - Part Shade,Medium - Wet,5' - 12’,White,May - June,Shrub with white flowers in late spring early summer.
Adoxaceae,Viburnum prunifolium,Blackhaw viburnum,Deciduous,Shrub,Sun - Part Shade,Medium,10' - 20',White,April - June,"Large shrub with clisters of white flowers, can tolerate a range of soil and light conditions."
Apiaceae/Umbelliferae,Zizia aurea,Golden Alexanders,Perennial,Herb,Sun,Wet,1' - 2',Yellow,May - June,"Golden Alexanders has its greatest potential as a component of conservation mixes and wildflower gardens. In wet, sunny meadows and open woodlands it will naturalize. The flowers are attractive to many kinds of butterflies and many other insects. It is an excellent source of accessible pollen and nectar to many beneficial insects with short mouthparts."
Cupressaceae,Chamaecyparis thyoides,Atlantic White Cedar,Evergreen,Tree,Sun - Part Shade,Wet,40' - 60',Green,March - May,"Atlantic white cedar is an evergreen with scaly leaves that occur in a flat fern-like appearance. This species usually grows in very dense, solid stands, and has small rounded cones."
Fabaceae,Cercis canadensis,Eastern Red Bud,Deciduous,Tree,Part Shade - Shade,Medium,15' - 30',Pink,March - May,"Eastern redbud is usually one of the first trees to bloom in spring. Pink to reddish purple flowers are grown on old twigs, branches, and trunks. Flowering occurs in March to May before leaf growth."
Caprifoliaceae,Lonicera sempervirens,Trumpet Honeysuckle,Perennial,Vine,Sun - Part Shade,Medium,4' - 20',Red Orange,May - June,"The prefered source of nectar for hummingbirds, can grow in a wide range of conditions. Can be evergreen in Southern states with warmer winters"
